Mã,Công ty,Ngành,Khối lượng NY/ĐKGD
EIB,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,Ngân hàng,1746956148
ELC,Công ty Cổ phần Công nghệ - Viễn thông ELCOM,Thiết bị viễn thông,58778843
EVE,Công ty Cổ phần Everpia,Hàng May mặc,41979773
EVF,Công ty Tài chính Cổ phần Điện lực,Tài chính cá nhân,351064031
EVG,Công ty Cổ phần Đầu tư Everland,Xây dựng,215249836
FCM,Công ty Cổ phần Khoáng sản FECON,Vật liệu xây dựng & Nội thất,45099969
FCN,Công ty Cổ phần FECON,Xây dựng,157439005
FDC,Công ty Cổ phần Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,Bất động sản,38629988
FIR,Công ty Cổ phần Địa ốc First Real,Bất động sản,64245281
FIT,Công ty cổ phần Tập đoàn F.I.T,Tài chính đặc biệt,339933034
FMC,Công ty Cổ phần Thực phẩm Sao Ta,Nuôi trồng nông & hải sản,65388889
FPT,Công ty Cổ phần FPT,Phần mềm,1269968875
FRT,Công ty cổ phần Bán lẻ Kỹ thuật số FPT,Phân phối hàng chuyên dụng,136242389
FTS,Công ty Cổ phần Chứng khoán FPT,Môi giới chứng khoán,214564987
GAS,Tổng Công ty Khí Việt Nam-Công ty Cổ phần,Phân phối xăng dầu & khí đốt,1913950000
GDT,Công ty Cổ phần Chế biến Gỗ Đức Thành,Thiết bị gia dụng,21561092
GEG,Công ty Cổ phần Điện Gia Lai,Sản xuất & Phân phối Điện,341249401
GEX,Công ty Cổ phần Tập đoàn Gelex,Thiết bị điện,851495793
GIL,Công ty Cổ phần Sản Xuất Kinh Doanh Xuất Nhập Khẩu Bình Thạnh,Hàng May mặc,70000000
GMC,Công ty cổ phần Garmex Sài Gòn,Hàng May mặc,33000259
GMD,Công ty Cổ phần Gemadept,"Kho bãi, hậu cần và bảo dưỡng",305898557
GMH,Công ty cổ phần Minh Hưng Quảng Trị,Vật liệu xây dựng & Nội thất,16500000
GSP,Công ty Cổ phần Vận tải Sản Phẩm khí Quốc Tế,Vận tải Thủy,55799445
GTA,Công ty Cổ phần chế biến gỗ Thuận An,Lâm sản và Chế biến gỗ,10400000
